support,itemsets
0.0279,"frozenset({'DeviceType=missing', 'Email=gmail.com', 'Amt=Amt_High', 'Hour=Hour_12_17'})"
0.0279,"frozenset({'DeviceType=missing', 'isFraud=0', 'Email=hotmail.com'})"
0.02785,"frozenset({'ProductCD=R', 'DeviceType=desktop', 'Amt=Amt_High', 'Card1=card1_other'})"
0.02785,"frozenset({'isFraud=0', 'DeviceType=desktop', 'Amt=Amt_Med', 'ProductCD=H'})"
0.02785,"frozenset({'Email=gmail.com', 'Card1=card1_other', 'Amt=Amt_Low', 'isFraud=0', 'Hour=Hour_12_17'})"
0.0278,"frozenset({'isFraud=0', 'Email=gmail.com', 'DeviceType=mobile', 'Card1=card1_other'})"
0.0278,"frozenset({'Card1=card1_other', 'DeviceType=mobile', 'Hour=Hour_0_5'})"
0.02775,"frozenset({'Email=anonymous.com', 'Amt=Amt_High', 'Card1=card1_other'})"
0.0277,"frozenset({'Email=gmail.com', 'ProductCD=W', 'Amt=Amt_High', 'DeviceType=missing', 'Hour=Hour_12_17'})"
0.0277,"frozenset({'ProductCD=W', 'Email=gmail.com', 'Amt=Amt_High', 'Hour=Hour_12_17'})"
0.02765,"frozenset({'DeviceType=desktop', 'ProductCD=H', 'Card1=card1_other', 'Hour=Hour_18_23'})"
0.02765,"frozenset({'isFraud=0', 'Hour=Hour_18_23', 'Email=hotmail.com'})"
0.0276,"frozenset({'ProductCD=C', 'Card1=card1_other', 'Hour=Hour_0_5'})"
0.02755,"frozenset({'isFraud=0', 'Amt=Amt_Med', 'DeviceType=mobile'})"
0.0275,"frozenset({'isFraud=0', 'Email=anonymous.com', 'Amt=Amt_High', 'Card1=card1_other'})"
0.02745,"frozenset({'Email=gmail.com', 'Amt=Amt_Med', 'DeviceType=missing', 'isFraud=0', 'Hour=Hour_18_23'})"
0.02745,"frozenset({'Email=gmail.com', 'Amt=Amt_High', 'DeviceType=missing', 'isFraud=0', 'Hour=Hour_12_17'})"
0.02745,"frozenset({'ProductCD=R', 'DeviceType=desktop', 'Card1=card1_other', 'Amt=Amt_High', 'isFraud=0'})"
0.02735,"frozenset({'ProductCD=R', 'Hour=Hour_18_23', 'Card1=card1_other'})"
0.02735,"frozenset({'isFraud=0', 'Amt=Amt_Med', 'Email=gmail.com', 'Hour=Hour_12_17'})"
0.02725,"frozenset({'Email=gmail.com', 'ProductCD=W', 'Amt=Amt_High', 'isFraud=0', 'Hour=Hour_12_17'})"
0.02725,"frozenset({'isFraud=0', 'Hour=Hour_18_23', 'DeviceType=mobile', 'Card1=card1_other'})"
0.02725,"frozenset({'Email=gmail.com', 'ProductCD=W', 'Amt=Amt_High', 'DeviceType=missing', 'isFraud=0', 'Hour=Hour_12_17'})"
0.02715,"frozenset({'Email=gmail.com', 'DeviceType=desktop', 'ProductCD=H', 'Card1=card1_other'})"
0.02715,"frozenset({'DeviceType=desktop', 'Card1=card1_other', 'isFraud=0', 'Hour=Hour_18_23', 'ProductCD=H'})"
0.02715,"frozenset({'ProductCD=C', 'Email=gmail.com', 'Card1=card1_other'})"
0.02715,"frozenset({'Email=yahoo.com', 'ProductCD=H'})"
0.02705,"frozenset({'Email=gmail.com', 'ProductCD=W', 'Amt=Amt_Med', 'DeviceType=missing', 'Hour=Hour_18_23'})"
0.02705,"frozenset({'Amt=Amt_Med', 'ProductCD=W', 'Email=gmail.com', 'Hour=Hour_18_23'})"
0.027,"frozenset({'isFraud=0', 'ProductCD=R', 'Hour=Hour_18_23', 'Card1=card1_other'})"
0.0269,"frozenset({'Amt=Amt_Low', 'Email=missing', 'Hour=Hour_18_23'})"
0.0269,"frozenset({'ProductCD=C', 'Hour=Hour_18_23', 'Card1=card1_other'})"
0.0269,frozenset({'ProductCD=S'})
0.0269,"frozenset({'ProductCD=S', 'Email=missing'})"
0.02685,"frozenset({'Amt=Amt_Low', 'ProductCD=C', 'Email=gmail.com'})"
0.02685,"frozenset({'Email=anonymous.com', 'Hour=Hour_18_23', 'Card1=card1_other'})"
0.0267,"frozenset({'Hour=Hour_6_11', 'Card1=card1_other'})"
0.0267,"frozenset({'isFraud=0', 'Email=yahoo.com', 'ProductCD=H'})"
0.02665,"frozenset({'isFraud=0', 'Email=anonymous.com', 'Hour=Hour_18_23', 'Card1=card1_other'})"
0.02665,"frozenset({'Amt=Amt_Low', 'ProductCD=C', 'Hour=Hour_0_5'})"
0.0266,"frozenset({'isFraud=0', 'DeviceType=mobile', 'Hour=Hour_12_17'})"
0.0265,"frozenset({'Email=gmail.com', 'DeviceType=desktop', 'Card1=card1_other', 'isFraud=0', 'ProductCD=H'})"
0.0264,"frozenset({'ProductCD=R', 'DeviceType=desktop', 'Hour=Hour_18_23'})"
0.0264,frozenset({'isFraud=1'})
0.02635,"frozenset({'isFraud=0', 'ProductCD=S'})"
0.02635,"frozenset({'isFraud=0', 'ProductCD=S', 'Email=missing'})"
0.02635,"frozenset({'Email=gmail.com', 'ProductCD=W', 'Amt=Amt_Med', 'DeviceType=missing', 'isFraud=0', 'Hour=Hour_18_23'})"
0.02635,"frozenset({'Email=gmail.com', 'ProductCD=W', 'Amt=Amt_Med', 'isFraud=0', 'Hour=Hour_18_23'})"
0.0263,"frozenset({'ProductCD=R', 'Email=gmail.com'})"
0.0263,"frozenset({'Amt=Amt_Med', 'DeviceType=desktop', 'Hour=Hour_18_23'})"
0.0263,"frozenset({'DeviceType=missing', 'Card1=card1_other', 'Email=missing', 'Hour=Hour_0_5'})"
0.0263,"frozenset({'Amt=Amt_Low', 'ProductCD=H', 'Hour=Hour_0_5'})"
0.02625,"frozenset({'Amt=Amt_Low', 'isFraud=0', 'ProductCD=H', 'Hour=Hour_0_5'})"
0.0262,"frozenset({'isFraud=0', 'ProductCD=R', 'DeviceType=desktop', 'Hour=Hour_18_23'})"
0.02615,"frozenset({'Amt=Amt_Low', 'isFraud=0', 'Email=missing', 'Hour=Hour_18_23'})"
0.02615,"frozenset({'isFraud=0', 'Card1=card1_other', 'DeviceType=mobile', 'Hour=Hour_0_5'})"
0.02615,"frozenset({'Amt=Amt_Low', 'Hour=Hour_18_23', 'ProductCD=H', 'Card1=card1_other'})"
0.0261,"frozenset({'Amt=Amt_Low', 'Email=gmail.com', 'DeviceType=desktop', 'ProductCD=H'})"
0.02605,"frozenset({'ProductCD=W', 'Card1=card1_other', 'DeviceType=missing', 'Email=missing', 'Hour=Hour_0_5'})"
0.02605,"frozenset({'ProductCD=W', 'Email=missing', 'Card1=card1_other', 'Hour=Hour_0_5'})"
0.026,"frozenset({'Email=gmail.com', 'DeviceType=desktop', 'Amt=Amt_Low', 'isFraud=0', 'ProductCD=H'})"
0.02595,"frozenset({'Card1=card1_other', 'DeviceType=missing', 'isFraud=0', 'Email=missing', 'Hour=Hour_0_5'})"
0.02595,"frozenset({'isFraud=0', 'Hour=Hour_6_11', 'Card1=card1_other'})"
0.0259,"frozenset({'Amt=Amt_Med', 'ProductCD=C'})"
0.02585,"frozenset({'ProductCD=R', 'DeviceType=desktop', 'Hour=Hour_12_17'})"
0.0258,"frozenset({'Card1=card1_other', 'Email=gmail.com', 'Amt=Amt_High', 'Hour=Hour_12_17'})"
0.0258,"frozenset({'Card1=card1_other', 'Amt=Amt_Low', 'isFraud=0', 'Hour=Hour_18_23', 'ProductCD=H'})"
0.02575,"frozenset({'Amt=Amt_Med', 'Email=gmail.com', 'Hour=Hour_0_5'})"
0.0257,"frozenset({'ProductCD=W', 'Card1=card1_other', 'isFraud=0', 'Email=missing', 'Hour=Hour_0_5'})"
0.0257,"frozenset({'ProductCD=W', 'Card1=card1_other', 'DeviceType=missing', 'isFraud=0', 'Email=missing', 'Hour=Hour_0_5'})"
0.0257,"frozenset({'isFraud=0', 'ProductCD=R', 'DeviceType=desktop', 'Hour=Hour_12_17'})"
0.02555,"frozenset({'DeviceType=missing', 'Email=email_other'})"
0.0255,"frozenset({'DeviceType=missing', 'Email=aol.com', 'Card1=card1_other'})"
0.02545,"frozenset({'isFraud=0', 'DeviceType=desktop', 'Amt=Amt_Med', 'Hour=Hour_18_23'})"
0.02545,"frozenset({'Amt=Amt_Low', 'ProductCD=C', 'Hour=Hour_18_23'})"
0.0254,"frozenset({'Amt=Amt_Low', 'Email=hotmail.com', 'Card1=card1_other'})"
0.02535,"frozenset({'ProductCD=W', 'Email=anonymous.com'})"
0.02535,"frozenset({'DeviceType=missing', 'ProductCD=W', 'Email=anonymous.com'})"
0.02525,"frozenset({'Email=gmail.com', 'Card1=card1_other', 'Amt=Amt_Low', 'DeviceType=missing', 'Hour=Hour_18_23'})"
0.02525,"frozenset({'DeviceType=missing', 'isFraud=0', 'Email=email_other'})"
0.02525,"frozenset({'ProductCD=W', 'Email=aol.com', 'Card1=card1_other'})"
0.02525,"frozenset({'DeviceType=missing', 'ProductCD=W', 'Email=aol.com', 'Card1=card1_other'})"
0.0252,"frozenset({'Email=yahoo.com', 'Hour=Hour_18_23', 'Amt=Amt_High'})"
0.02515,"frozenset({'DeviceType=missing', 'isFraud=0', 'ProductCD=W', 'Email=anonymous.com'})"
0.02515,"frozenset({'isFraud=0', 'ProductCD=W', 'Email=anonymous.com'})"
0.02515,"frozenset({'DeviceType=missing', 'Card1=card1_other', 'Email=yahoo.com', 'Hour=Hour_0_5'})"
0.0251,"frozenset({'DeviceType=missing', 'isFraud=0', 'Email=aol.com', 'Card1=card1_other'})"
0.0251,"frozenset({'isFraud=0', 'Card1=card1_other', 'ProductCD=C', 'Hour=Hour_0_5'})"
0.02505,"frozenset({'Email=hotmail.com', 'Hour=Hour_0_5'})"
0.025,"frozenset({'ProductCD=W', 'Email=yahoo.com', 'Card1=card1_other', 'Hour=Hour_0_5'})"
0.025,"frozenset({'Amt=Amt_Low', 'ProductCD=C', 'isFraud=0', 'Hour=Hour_0_5'})"
0.025,"frozenset({'ProductCD=W', 'Card1=card1_other', 'Email=yahoo.com', 'DeviceType=missing', 'Hour=Hour_0_5'})"
0.025,"frozenset({'Email=gmail.com', 'Amt=Amt_High', 'Hour=Hour_0_5'})"
0.025,"frozenset({'isFraud=0', 'ProductCD=R', 'Email=gmail.com'})"
0.0249,"frozenset({'DeviceType=missing', 'Hour=Hour_6_11'})"
0.02485,"frozenset({'isFraud=0', 'ProductCD=W', 'Email=aol.com', 'Card1=card1_other'})"
0.02485,"frozenset({'ProductCD=W', 'Card1=card1_other', 'DeviceType=missing', 'isFraud=0', 'Email=aol.com'})"
0.02485,"frozenset({'Amt=Amt_Low', 'Card1=card1_other', 'DeviceType=desktop', 'Hour=Hour_12_17'})"
0.02485,"frozenset({'isFraud=0', 'Email=yahoo.com', 'Hour=Hour_18_23', 'Amt=Amt_High'})"
0.0248,"frozenset({'Amt=Amt_Low', 'ProductCD=C', 'DeviceType=mobile'})"
0.02475,"frozenset({'Email=gmail.com', 'Card1=card1_other', 'Amt=Amt_High', 'isFraud=0', 'Hour=Hour_12_17'})"
0.02475,"frozenset({'Email=anonymous.com', 'Hour=Hour_12_17'})"
0.02475,"frozenset({'ProductCD=C', 'Email=hotmail.com', 'Card1=card1_other'})"
0.0247,"frozenset({'Card1=card1_other', 'Email=yahoo.com', 'DeviceType=missing', 'isFraud=0', 'Hour=Hour_0_5'})"
0.0246,"frozenset({'Amt=Amt_Low', 'ProductCD=C', 'Email=hotmail.com'})"
0.02455,"frozenset({'ProductCD=W', 'Card1=card1_other', 'Email=yahoo.com', 'DeviceType=missing', 'isFraud=0', 'Hour=Hour_0_5'})"
0.02455,"frozenset({'ProductCD=W', 'Card1=card1_other', 'Email=yahoo.com', 'isFraud=0', 'Hour=Hour_0_5'})"
0.0245,"frozenset({'isFraud=0', 'Email=anonymous.com', 'Hour=Hour_12_17'})"
0.0245,"frozenset({'Amt=Amt_Low', 'isFraud=0', 'Email=hotmail.com', 'Card1=card1_other'})"
0.0244,"frozenset({'isFraud=0', 'Email=gmail.com', 'Amt=Amt_Med', 'Hour=Hour_0_5'})"
0.0244,"frozenset({'ProductCD=W', 'Hour=Hour_6_11'})"
0.0244,"frozenset({'Email=gmail.com', 'Card1=card1_other', 'Amt=Amt_Low', 'DeviceType=missing', 'isFraud=0', 'Hour=Hour_18_23'})"
0.0244,"frozenset({'DeviceType=missing', 'ProductCD=W', 'Hour=Hour_6_11'})"
0.02435,"frozenset({'DeviceType=desktop', 'Card1=card1_other', 'Amt=Amt_Low', 'isFraud=0', 'Hour=Hour_12_17'})"
0.0243,"frozenset({'DeviceType=missing', 'isFraud=0', 'Hour=Hour_6_11'})"
0.0243,"frozenset({'ProductCD=R', 'Email=anonymous.com'})"
0.02425,"frozenset({'ProductCD=R', 'Card1=card1_other', 'Hour=Hour_12_17'})"
0.0242,"frozenset({'Amt=Amt_Low', 'DeviceType=desktop', 'ProductCD=H', 'Hour=Hour_18_23'})"
0.02415,"frozenset({'Email=gmail.com', 'ProductCD=W', 'Card1=card1_other', 'Amt=Amt_Low', 'Hour=Hour_18_23'})"
0.02415,"frozenset({'isFraud=0', 'ProductCD=R', 'Email=anonymous.com'})"
0.02415,"frozenset({'Email=gmail.com', 'ProductCD=W', 'Card1=card1_other', 'Amt=Amt_Low', 'DeviceType=missing', 'Hour=Hour_18_23'})"
0.02405,"frozenset({'isFraud=0', 'ProductCD=R', 'Card1=card1_other', 'Hour=Hour_12_17'})"
0.02405,"frozenset({'DeviceType=desktop', 'ProductCD=H', 'Hour=Hour_0_5'})"
0.024,"frozenset({'Amt=Amt_Low', 'ProductCD=C', 'isFraud=0', 'Email=gmail.com'})"
0.02395,"frozenset({'Amt=Amt_Low', 'ProductCD=C', 'DeviceType=desktop', 'Card1=card1_other'})"
0.0239,"frozenset({'DeviceType=desktop', 'Amt=Amt_Low', 'isFraud=0', 'Hour=Hour_18_23', 'ProductCD=H'})"
0.0239,"frozenset({'isFraud=0', 'Email=gmail.com', 'Amt=Amt_High', 'Hour=Hour_0_5'})"
0.02385,"frozenset({'isFraud=0', 'Email=hotmail.com', 'Hour=Hour_0_5'})"
0.0238,"frozenset({'isFraud=0', 'ProductCD=W', 'Hour=Hour_6_11'})"
0.0238,"frozenset({'DeviceType=missing', 'isFraud=0', 'ProductCD=W', 'Hour=Hour_6_11'})"
0.02365,"frozenset({'isFraud=0', 'ProductCD=C', 'Hour=Hour_18_23', 'Card1=card1_other'})"
0.02365,"frozenset({'Amt=Amt_Low', 'Card1=card1_other', 'DeviceType=mobile', 'ProductCD=H'})"
0.02365,"frozenset({'isFraud=0', 'DeviceType=desktop', 'ProductCD=H', 'Hour=Hour_0_5'})"
0.0236,"frozenset({'Card1=card1_other', 'Amt=Amt_Low', 'isFraud=0', 'DeviceType=mobile', 'ProductCD=H'})"
0.0236,"frozenset({'Amt=Amt_Low', 'Email=gmail.com', 'DeviceType=missing', 'Hour=Hour_0_5'})"
0.02355,"frozenset({'Email=gmail.com', 'Hour=Hour_18_23', 'ProductCD=H'})"
0.0235,"frozenset({'Amt=Amt_Low', 'Email=yahoo.com', 'Hour=Hour_18_23'})"
0.02345,"frozenset({'Amt=Amt_Med', 'DeviceType=desktop', 'Hour=Hour_12_17'})"
0.0234,"frozenset({'DeviceType=missing', 'Email=email_other', 'ProductCD=W'})"
0.0234,"frozenset({'Email=email_other', 'ProductCD=W'})"
0.02335,"frozenset({'Email=gmail.com', 'ProductCD=W', 'Card1=card1_other', 'Amt=Amt_Low', 'DeviceType=missing', 'isFraud=0', 'Hour=Hour_18_23'})"
0.02335,"frozenset({'Email=gmail.com', 'ProductCD=W', 'Card1=card1_other', 'Amt=Amt_Low', 'isFraud=0', 'Hour=Hour_18_23'})"
0.0233,"frozenset({'isFraud=0', 'ProductCD=C', 'Email=gmail.com', 'Card1=card1_other'})"
0.02325,"frozenset({'Amt=Amt_Low', 'ProductCD=C', 'isFraud=0', 'Email=hotmail.com'})"
0.02325,"frozenset({'Email=gmail.com', 'Amt=Amt_Low', 'DeviceType=missing', 'isFraud=0', 'Hour=Hour_0_5'})"
0.0232,"frozenset({'DeviceType=desktop', 'Amt=Amt_High', 'Hour=Hour_18_23'})"
0.02315,"frozenset({'Amt=Amt_Low', 'Email=gmail.com', 'DeviceType=mobile'})"
0.0231,"frozenset({'Amt=Amt_Med', 'DeviceType=mobile', 'Card1=card1_other'})"
0.0231,"frozenset({'Amt=Amt_Low', 'Card1=card1_other', 'DeviceType=desktop', 'Hour=Hour_0_5'})"
0.0231,"frozenset({'Amt=Amt_Low', 'DeviceType=mobile', 'Hour=Hour_0_5'})"
0.0231,"frozenset({'isFraud=0', 'ProductCD=W', 'Email=email_other'})"
0.0231,"frozenset({'DeviceType=missing', 'isFraud=0', 'ProductCD=W', 'Email=email_other'})"
0.0231,"frozenset({'Amt=Amt_Low', 'isFraud=0', 'Email=yahoo.com', 'Hour=Hour_18_23'})"
0.02305,"frozenset({'Amt=Amt_Low', 'ProductCD=C', 'isFraud=0', 'Hour=Hour_18_23'})"
0.023,"frozenset({'isFraud=0', 'Email=gmail.com', 'Hour=Hour_18_23', 'ProductCD=H'})"
0.0229,"frozenset({'isFraud=0', 'Amt=Amt_Med', 'DeviceType=desktop', 'Hour=Hour_12_17'})"
0.02285,"frozenset({'Card1=card1_other', 'DeviceType=desktop', 'ProductCD=H', 'Hour=Hour_12_17'})"
0.0228,"frozenset({'Email=aol.com', 'Amt=Amt_High'})"
0.02275,"frozenset({'Email=gmail.com', 'DeviceType=desktop', 'Hour=Hour_12_17'})"
0.0227,"frozenset({'isFraud=0', 'DeviceType=desktop', 'Amt=Amt_High', 'Hour=Hour_18_23'})"
0.02265,"frozenset({'Amt=Amt_Med', 'ProductCD=R', 'Card1=card1_other'})"
0.02265,"frozenset({'Email=missing', 'DeviceType=desktop'})"
0.02255,"frozenset({'Amt=Amt_Low', 'ProductCD=C', 'isFraud=0', 'DeviceType=mobile'})"
0.0225,"frozenset({'isFraud=0', 'ProductCD=R', 'Amt=Amt_Med', 'Card1=card1_other'})"
0.02245,"frozenset({'DeviceType=desktop', 'Card1=card1_other', 'Amt=Amt_Low', 'isFraud=0', 'Hour=Hour_0_5'})"
0.02245,"frozenset({'DeviceType=desktop', 'Card1=card1_other', 'isFraud=0', 'ProductCD=H', 'Hour=Hour_12_17'})"
0.02245,"frozenset({'Email=missing', 'Hour=Hour_18_23', 'Amt=Amt_High'})"
0.0224,"frozenset({'ProductCD=C', 'DeviceType=mobile', 'Card1=card1_other'})"
0.02235,"frozenset({'Email=yahoo.com', 'DeviceType=desktop'})"
0.02235,"frozenset({'DeviceType=missing', 'Email=yahoo.com', 'Hour=Hour_18_23', 'Amt=Amt_High'})"
0.02235,"frozenset({'Amt=Amt_Low', 'isFraud=0', 'DeviceType=mobile', 'Hour=Hour_0_5'})"
0.02235,"frozenset({'isFraud=0', 'Email=missing', 'DeviceType=desktop'})"
0.0223,"frozenset({'isFraud=0', 'ProductCD=C', 'Email=hotmail.com', 'Card1=card1_other'})"
0.02225,"frozenset({'ProductCD=W', 'Email=yahoo.com', 'Hour=Hour_18_23', 'Amt=Amt_High'})"
0.02225,"frozenset({'ProductCD=W', 'Email=yahoo.com', 'Amt=Amt_High', 'DeviceType=missing', 'Hour=Hour_18_23'})"
0.0222,"frozenset({'Amt=Amt_Low', 'Email=missing', 'Hour=Hour_18_23', 'Card1=card1_other'})"
0.0222,"frozenset({'ProductCD=C', 'DeviceType=desktop', 'Card1=card1_other', 'Amt=Amt_Low', 'isFraud=0'})"
0.02215,"frozenset({'isFraud=0', 'Email=aol.com', 'Amt=Amt_High'})"
0.02215,"frozenset({'ProductCD=W', 'Email=hotmail.com'})"
0.02215,"frozenset({'DeviceType=missing', 'ProductCD=W', 'Email=hotmail.com'})"
0.0221,"frozenset({'isFraud=0', 'Email=yahoo.com', 'DeviceType=desktop'})"
0.0221,"frozenset({'isFraud=0', 'ProductCD=C', 'Amt=Amt_Med'})"
0.02205,"frozenset({'Amt=Amt_Low', 'ProductCD=W', 'Email=gmail.com', 'Hour=Hour_0_5'})"
0.02205,"frozenset({'Email=gmail.com', 'ProductCD=W', 'Amt=Amt_Low', 'DeviceType=missing', 'Hour=Hour_0_5'})"
0.02205,"frozenset({'ProductCD=S', 'DeviceType=desktop'})"
0.02205,"frozenset({'ProductCD=S', 'Email=missing', 'DeviceType=desktop'})"
0.02205,"frozenset({'Email=yahoo.com', 'Amt=Amt_High', 'DeviceType=missing', 'isFraud=0', 'Hour=Hour_18_23'})"
0.022,"frozenset({'Amt=Amt_Low', 'isFraud=0', 'Email=gmail.com', 'DeviceType=mobile'})"
0.022,"frozenset({'Amt=Amt_Low', 'Email=anonymous.com'})"
0.02195,"frozenset({'isFraud=0', 'Email=gmail.com', 'DeviceType=desktop', 'Hour=Hour_12_17'})"
0.02195,"frozenset({'ProductCD=W', 'Email=yahoo.com', 'Amt=Amt_High', 'DeviceType=missing', 'isFraud=0', 'Hour=Hour_18_23'})"
0.02195,"frozenset({'ProductCD=W', 'Email=yahoo.com', 'Amt=Amt_High', 'isFraud=0', 'Hour=Hour_18_23'})"
0.02195,"frozenset({'Email=gmail.com', 'ProductCD=W', 'Amt=Amt_Low', 'DeviceType=missing', 'isFraud=0', 'Hour=Hour_0_5'})"
0.02195,"frozenset({'Email=gmail.com', 'ProductCD=W', 'Amt=Amt_Low', 'isFraud=0', 'Hour=Hour_0_5'})"
0.0219,"frozenset({'isFraud=0', 'ProductCD=S', 'Email=missing', 'DeviceType=desktop'})"
0.0219,"frozenset({'isFraud=0', 'ProductCD=S', 'DeviceType=desktop'})"
0.0219,"frozenset({'DeviceType=missing', 'Email=anonymous.com', 'Card1=card1_other'})"
0.0218,"frozenset({'DeviceType=missing', 'isFraud=0', 'ProductCD=W', 'Email=hotmail.com'})"
0.0218,"frozenset({'isFraud=0', 'ProductCD=W', 'Email=hotmail.com'})"
0.02175,"frozenset({'DeviceType=missing', 'Email=missing', 'Hour=Hour_18_23', 'Amt=Amt_High'})"
0.02175,"frozenset({'DeviceType=missing', 'isFraud=0', 'Email=anonymous.com', 'Card1=card1_other'})"
0.02165,"frozenset({'ProductCD=W', 'Email=missing', 'Hour=Hour_18_23', 'Amt=Amt_High'})"
0.02165,"frozenset({'isFraud=0', 'Email=missing', 'Hour=Hour_18_23', 'Amt=Amt_High'})"
0.02165,"frozenset({'ProductCD=W', 'Amt=Amt_High', 'DeviceType=missing', 'Email=missing', 'Hour=Hour_18_23'})"
0.02165,"frozenset({'DeviceType=missing', 'Email=hotmail.com', 'Card1=card1_other'})"
0.02165,"frozenset({'Amt=Amt_Low', 'Hour=Hour_18_23', 'DeviceType=mobile'})"
0.02165,"frozenset({'ProductCD=C', 'DeviceType=desktop', 'Hour=Hour_0_5'})"
0.02165,"frozenset({'Email=gmail.com', 'DeviceType=desktop', 'Card1=card1_other', 'Hour=Hour_18_23'})"
0.0216,"frozenset({'Amt=Amt_Low', 'isFraud=0', 'Email=anonymous.com'})"
0.02155,"frozenset({'Amt=Amt_Med', 'Email=hotmail.com'})"
0.02155,"frozenset({'Amt=Amt_Med', 'Email=gmail.com', 'DeviceType=desktop'})"
0.0215,"frozenset({'Card1=card1_other', 'Amt=Amt_Low', 'isFraud=0', 'Email=missing', 'Hour=Hour_18_23'})"
0.0215,"frozenset({'isFraud=0', 'Amt=Amt_Med', 'DeviceType=mobile', 'Card1=card1_other'})"
0.02135,"frozenset({'Email=aol.com', 'Hour=Hour_18_23'})"
0.02135,"frozenset({'Email=gmail.com', 'DeviceType=desktop', 'Hour=Hour_0_5'})"
0.0213,"frozenset({'Email=gmail.com', 'Card1=card1_other', 'Amt=Amt_Med', 'DeviceType=missing', 'Hour=Hour_18_23'})"
0.02125,frozenset({'Card1=9500'})
0.02125,"frozenset({'Card1=card1_other', 'DeviceType=mobile', 'Hour=Hour_12_17'})"
0.0211,"frozenset({'ProductCD=C', 'Hour=Hour_12_17'})"
0.0211,"frozenset({'DeviceType=missing', 'isFraud=0', 'Email=hotmail.com', 'Card1=card1_other'})"
0.02105,"frozenset({'ProductCD=R', 'DeviceType=desktop', 'Card1=card1_other', 'Hour=Hour_18_23'})"
0.02105,"frozenset({'isFraud=0', 'Email=aol.com', 'Hour=Hour_18_23'})"
0.02105,"frozenset({'Amt=Amt_Med', 'ProductCD=R', 'DeviceType=desktop'})"
0.021,"frozenset({'isFraud=0', 'ProductCD=R', 'DeviceType=desktop', 'Amt=Amt_Med'})"
0.02095,"frozenset({'Amt=Amt_Low', 'Email=missing', 'Hour=Hour_12_17'})"
0.02095,"frozenset({'ProductCD=R', 'Email=anonymous.com', 'Card1=card1_other'})"
0.02095,"frozenset({'Amt=Amt_High', 'DeviceType=missing', 'isFraud=0', 'Email=missing', 'Hour=Hour_18_23'})"
0.0209,"frozenset({'ProductCD=R', 'Email=anonymous.com', 'DeviceType=desktop'})"
0.02085,"frozenset({'ProductCD=W', 'Amt=Amt_High', 'DeviceType=missing', 'isFraud=0', 'Email=missing', 'Hour=Hour_18_23'})"
0.02085,"frozenset({'ProductCD=W', 'Amt=Amt_High', 'isFraud=0', 'Email=missing', 'Hour=Hour_18_23'})"
0.02085,"frozenset({'ProductCD=R', 'DeviceType=desktop', 'Card1=card1_other', 'isFraud=0', 'Hour=Hour_18_23'})"
0.0208,"frozenset({'Amt=Amt_Med', 'Email=anonymous.com'})"
0.0208,"frozenset({'Email=gmail.com', 'Card1=card1_other', 'Amt=Amt_High', 'DeviceType=missing', 'Hour=Hour_12_17'})"
0.0208,"frozenset({'DeviceType=desktop', 'Email=hotmail.com', 'Card1=card1_other'})"
0.0208,"frozenset({'Amt=Amt_Low', 'Card1=card1_other', 'ProductCD=H', 'Hour=Hour_12_17'})"
0.0208,"frozenset({'isFraud=0', 'Card1=9500'})"
0.0208,"frozenset({'isFraud=0', 'ProductCD=R', 'Email=anonymous.com', 'Card1=card1_other'})"
0.02075,"frozenset({'isFraud=0', 'Email=anonymous.com', 'Amt=Amt_Med'})"
0.02075,"frozenset({'isFraud=0', 'ProductCD=R', 'Email=anonymous.com', 'DeviceType=desktop'})"
0.02075,"frozenset({'Amt=Amt_Low', 'isFraud=0', 'Email=missing', 'Hour=Hour_12_17'})"
0.02075,"frozenset({'Card1=card1_other', 'Amt=Amt_Low', 'isFraud=0', 'ProductCD=H', 'Hour=Hour_12_17'})"
0.0207,"frozenset({'ProductCD=C', 'Email=gmail.com', 'DeviceType=desktop'})"
0.0207,"frozenset({'Email=gmail.com', 'ProductCD=W', 'Card1=card1_other', 'Amt=Amt_High', 'Hour=Hour_12_17'})"
0.0207,"frozenset({'Email=gmail.com', 'ProductCD=W', 'Card1=card1_other', 'Amt=Amt_High', 'DeviceType=missing', 'Hour=Hour_12_17'})"
0.0206,"frozenset({'Email=gmail.com', 'Card1=card1_other', 'Amt=Amt_Med', 'DeviceType=missing', 'isFraud=0', 'Hour=Hour_18_23'})"
0.02055,"frozenset({'Email=gmail.com', 'Card1=card1_other', 'Amt=Amt_High', 'DeviceType=missing', 'isFraud=0', 'Hour=Hour_12_17'})"
0.0205,"frozenset({'ProductCD=R', 'Hour=Hour_18_23', 'Amt=Amt_High'})"
0.0205,"frozenset({'Email=gmail.com', 'DeviceType=mobile', 'ProductCD=H'})"
0.0205,"frozenset({'Hour=Hour_18_23', 'Email=hotmail.com', 'Card1=card1_other'})"
0.0205,"frozenset({'Amt=Amt_Med', 'Card1=card1_other', 'Email=gmail.com', 'Hour=Hour_12_17'})"
0.02045,"frozenset({'Email=gmail.com', 'ProductCD=W', 'Card1=card1_other', 'Amt=Amt_High', 'DeviceType=missing', 'isFraud=0', 'Hour=Hour_12_17'})"
0.02045,"frozenset({'Email=gmail.com', 'ProductCD=W', 'Card1=card1_other', 'Amt=Amt_Med', 'Hour=Hour_18_23'})"
